DATE,MONTH,Fall,Winter,Spring,Summer,DailyAverageDewPointTemperature,DailyAverageDryBulbTemperature,DailyAverageRelativeHumidity,DailyAverageSeaLevelPressure,DailyAverageStationPressure,DailyAverageWetBulbTemperature,DailyAverageWindSpeed,DailyCoolingDegreeDays,DailyDepartureFromNormalAverageTemperature,DailyHeatingDegreeDays,DailyMaximumDryBulbTemperature,DailyMinimumDryBulbTemperature,DailyPeakWindDirection,DailyPeakWindSpeed,DailyPrecipitation,DailySnowDepth,DailySnowfall,DailySustainedWindDirection,DailySustainedWindSpeed,willRain,SeattleTwoDaysBeforePrecip,Humidity Diff
1/1/2012,1,0,1,0,0,20,38,54,30.57,27.49,30,7.8,0,8.3,27,46,30,140,24,0,0,0,150,18,0,0.07,-4
1/2/2012,1,0,1,0,0,23,38,63,30.36,27.3,31,5.8,0,8.2,27,49,26,140,28,0,0,0,140,22,0,0,9
1/3/2012,1,0,1,0,0,25,38,68,30.44,27.39,31,3.7,0,8.1,27,48,27,130,15,0,0,0,130,12,0,0,5
1/4/2012,1,0,1,0,0,26,38,66,30.46,27.39,32,3.8,0,8.1,27,49,27,140,18,0,0,0,140,15,0,0.43,-2
1/5/2012,1,0,1,0,0,27,37,71,30.28,27.24,32,2.6,0,7,28,46,27,300,13,0,0,0,300,12,0,0.03,5
1/6/2012,1,0,1,0,0,22,31,72,30.26,27.19,28,1.1,0,0.9,34,41,20,250,13,0,0,0,270,6,0,0.8,1
1/7/2012,1,0,1,0,0,24,34,69,30.36,27.32,29,9,0,3.8,31,41,27,310,23,0,0,0,300,20,0,0.05,-3
1/8/2012,1,0,1,0,0,22,34,66,30.48,27.41,29,4.2,0,3.7,31,44,24,290,15,0,0,0,300,13,0,0.1,-3
1/9/2012,1,0,1,0,0,24,36,67,30.44,27.36,30,4.7,0,5.6,29,47,24,320,28,0,0,0,150,13,0,0,1
1/10/2012,1,0,1,0,0,26,33,81,30.3,27.24,29,5.1,0,2.5,32,38,27,280,14,0,0,0,310,12,0,0,14
1/11/2012,1,0,1,0,0,19,27,70,30.5,27.41,25,5.1,0,-3.6,38,37,17,280,18,0,0,0,150,14,0,0.17,-11
1/12/2012,1,0,1,0,0,17,27,69,30.49,27.39,23,3.7,0,-3.7,38,35,19,320,12,0,0,0,320,9,0,0.04,-1
1/13/2012,1,0,1,0,0,17,30,65,30.44,27.34,24,2.6,0,-0.8,35,40,19,180,10,0,0,0,170,8,0,0,-4
1/14/2012,1,0,1,0,0,18,30,64,30.1,27.03,25,1.8,0,-0.9,35,40,20,340,12,0,0,0,340,10,0,0,-1
1/15/2012,1,0,1,0,0,15,27,64,29.93,26.9,23,4.1,0,-4,38,38,16,310,20,0,0,0,300,16,0,0,0
1/16/2012,1,0,1,0,0,10,26,57,30.15,27.1,20,4,0,-5.1,39,33,18,300,22,0,0,0,310,15,0,0.16,-7
1/17/2012,1,0,1,0,0,7,28,39,30.17,27.1,23,12.6,0,-3.3,37,36,19,130,29,0,0,0,140,23,0,0.21,-18
1/18/2012,1,0,1,0,0,26,36,75,30,26.98,32,11.4,0,4.6,29,40,32,140,43,0.82,0,4.8,120,28,1,0.1,36
1/19/2012,1,0,1,0,0,35,39,85,29.82,26.82,37,10.9,0,7.5,26,42,36,120,25,0.82,1,0,110,20,1,0.32,10
1/20/2012,1,0,1,0,0,37,43,81,29.81,26.82,40,10.4,0,11.4,22,48,37,120,28,0.45,0,0,120,21,1,0.78,-4
1/21/2012,1,0,1,0,0,35,42,68,29.55,26.63,40,14.3,0,10.2,23,49,35,320,35,0.03,0,0,310,29,1,0.6,-13
1/22/2012,1,0,1,0,0,25,34,69,30,26.99,31,10.4,0,2.1,31,41,27,120,28,0.03,0,0,110,20,1,0.53,1
1/23/2012,1,0,1,0,0,32,35,88,29.92,26.93,34,6.9,0,3,30,39,30,120,20,0.16,0,0.1,300,15,1,0.12,19
1/24/2012,1,0,1,0,0,25,33,72,30.28,27.24,30,10.9,0,0.8,32,39,27,120,26,0.05,0,0,120,21,1,0.24,-16
1/25/2012,1,0,1,0,0,35,46,69,30.3,27.27,40,10.3,0,13.7,19,55,37,130,29,0.02,0,0,120,23,1,0,-3
1/26/2012,1,0,1,0,0,34,41,74,30.17,27.16,39,9.2,0,8.6,24,50,32,330,28,0.32,0,0,320,21,1,0.34,5
1/27/2012,1,0,1,0,0,20,32,65,30.55,27.47,27,7.9,0,-0.6,33,38,25,320,21,0,0,0,320,18,0,0.32,-9
1/28/2012,1,0,1,0,0,16,33,57,30.59,27.5,26,4.5,0,0.3,32,42,23,130,13,0,0,0,120,10,0,0.19,-8
1/29/2012,1,0,1,0,0,22,38,58,30.29,27.21,30,4.8,0,5.1,27,48,27,120,20,0,0,0,120,15,0,0,1
1/30/2012,1,0,1,0,0,29,42,63,30.05,27.04,36,7.3,0,8.9,23,50,34,310,21,0.02,0,0,320,17,1,0,5
1/31/2012,1,0,1,0,0,24,41,55,30.11,27.09,33,8.6,0,7.8,24,50,32,120,21,0,0,0,120,16,0,1.09,-8
2/1/2012,2,0,1,0,0,29,40,64,30.1,27.11,36,9.1,0,6.6,25,46,34,220,25,0.02,0,0,200,20,1,0.14,9
2/2/2012,2,0,1,0,0,25,38,66,30.32,27.27,32,9.8,0,4.4,27,46,29,300,20,0,0,0,300,16,0,0.07,2
2/3/2012,2,0,1,0,0,21,36,59,30.37,27.31,29,7.5,0,2.2,29,45,26,160,20,0,0,0,130,14,0,0.53,-7
2/4/2012,2,0,1,0,0,21,37,57,30.38,27.32,29,7.4,0,3.1,28,49,25,140,18,0,0,0,120,15,0,0,-2
